title,author,length
82. The Body Keeps the Score,By: Bessel van der Kolk M.D.,Length: 16 hrs and 15 mins
83. Dune,By: Frank Herbert,Length: 21 hrs and 2 mins
84. The Chronicles of Narnia Complete Audio Collection,By: C. S. Lewis,Length: 33 hrs and 45 mins
85. The Spy and the Traitor,By: Ben Macintyre,Length: 13 hrs and 20 mins
86. Forgiving What You Can't Forget,By: Lysa TerKeurst,Length: 8 hrs and 20 mins
87. A Court of Frost and Starlight,By: Sarah J. Maas,Length: 6 hrs and 23 mins
88. All Fours,By: Miranda July,Length: 10 hrs and 13 mins
"89. Harry Potter and the Prisoner of Azkaban, Book 3",By: J.K. Rowling,Length: 11 hrs and 49 mins
90. The Courage to Be Disliked,"By: Ichiro Kishimi, Fumitake Koga",Length: 6 hrs and 29 mins
91. Supercommunicators,By: Charles Duhigg,Length: 7 hrs and 28 mins
92. Funny Story,By: Emily Henry,Length: 11 hrs and 23 mins
93. The Hobbit,By: J. R. R. Tolkien,Length: 10 hrs and 25 mins
"94. Harry Potter and the Goblet of Fire, Book 4",By: J.K. Rowling,Length: 20 hrs and 36 mins
95. Outlive,"By: Peter Attia MD, Bill Gifford - contributor",Length: 17 hrs and 7 mins
96. How to Win Friends & Influence People,By: Dale Carnegie,Length: 7 hrs and 15 mins
97. Elon Musk,By: Walter Isaacson,Length: 20 hrs and 39 mins
98. House of Earth and Blood,By: Sarah J. Maas,Length: 27 hrs and 50 mins
99. Can't Hurt Me,By: David Goggins,Length: 13 hrs and 37 mins
100. Remarkably Bright Creatures,By: Shelby Van Pelt,Length: 11 hrs and 16 mins
